name,height,weight
Kareem Abdul-Jabbar,218.4,102.1
LeBron James,205.7,113.4
Karl Malone,205.7,117.5
Kobe Bryant,198.0,96.0
Michael Jordan,198.0,89.0
Dirk Nowitzki,213.0,111.0
Wilt Chambelain,215.9,113.4
Shaquille O'Neal,215.9,147.4
Carmelo Anthony,201.0,107.0
Moses Malone,208.3,97.5
John Stockton,185.4,79.4
Jason Kidd,193,95.3
Steve Nash,190.5,80.7
Mark Jackson,190.5,88.5
Magic Johnson,205.7,99.8
Oscar Robertson,195.6,93
Chris Paul,185.4,79.4
Isiah Thomas,185.4,81.6
Gary Payton,193,86.2
Russel Westbrook,190.5,90.7
